Code;Preferred Term;Synonyms;Definition;Neoplastic Status;
C3697;Myxopapillary Ependymoma;;A slow growing, WHO grade I glioma which generally occurs in young adults.  It arises almost exclusively in the conus medullaris, cauda equina, and filum terminale of the spinal cord. It generally has a favorable prognosis and is characterized histologically by tumor cells arranged in a papillary manner around vascularized mucoid stromal cores. (Adapted from WHO).;Undetermined;
C8192;Nasal Cavity Squamous Cell Carcinoma;Squamous Cell Carcinoma of Nasal Cavity ;A squamous cell carcinoma that arises from the nasal cavity mucosa.  Signs and symptoms include nasal fullness and obstruction, pain, epistaxis, and the presence of a nasal mass.;Malignant;
C4684;Nasal Type Extranodal NK/T-Cell Lymphoma;Angiocentric T-Cell Lymphoma ;"An aggressive, predominantly extranodal, mature T-cell non-Hodgkin lymphoma. It is characterized by an often angiocentric and angiodestructive cellular infiltrate composed of EBV positive NK/T cells. The nasal cavity is the most common site of involvement. Patients often present with midfacial destructive lesions (lethal midline granuloma). The disease may disseminate rapidly to various anatomic sites including the gastrointestinal tract, skin, testis, and cervical lymph nodes. It is also known as angiocentric T-cell lymphoma. The term ""polymorphic reticulosis"" has been widely used to describe the morphologic changes seen in this type of lymphoma. However, the latter term may also apply to lymphomatoid granulomatosis, which is an angiocentric and angiodestructive EBV positive B-cell lymphoproliferative disorder.";Malignant;
C7992;Nasopharyngeal Keratinizing Squamous Cell Carcinoma;Keratinizing Epidermoid Carcinoma of Nasopharynx ;A squamous cell carcinoma that arises from the nasopharynx and is characterized by prominent production of keratin. A small minority of cases are associated with Epstein-Barr virus infection.;Malignant;
C6077;Neck Carcinoma;Carcinoma of Neck ;A carcinoma that arises from the anatomic structures of the neck region.;Malignant;
C7232;Neoplastic Post-Transplant Lymphoproliferative Disorder;Neoplastic PTLD ;A lymphoproliferative disorder arising as a result of post-transplant immunosuppression therapy.  It is characterized by the presence of tissue destruction and effacement of the architecture of the involved tissues. It includes the following variants: polymorphic, monomorphic, and classical Hodgkin lymphoma post-transplant lymphoproliferative disorders.;Undetermined;
C7018;Nerve Sheath Myxoma;;A benign neoplasm with nerve sheath features that usually arises from the dermis and subcutaneous tissue. It is composed of spindle and epithelioid cells in a myxoid stroma.;Benign;
C111693;Neural Glioblastoma;;A molecular subtype of glioblastoma characterized by the expression of the neural markers NEFL, GABRA1, SYT1, and SLC12A5.;Malignant;
C3270;Neuroblastoma;Neuroblastoma (Schwannian Stroma-Poor);A malignant neuroblastic tumor characterized by the presence of neuroblastic cells, the absence of ganglion cells, and the absence of a prominent Schwannian stroma formation.;Malignant;
C3773;Neuroendocrine Carcinoma;High-Grade Neuroendocrine Carcinoma ;An aggressive carcinoma composed of malignant cells that exhibit neuroendocrine differentiation. It is classified as small cell or large cell neuroendocrine carcinoma.;Malignant;
C3809;Neuroendocrine Neoplasm;;An epithelial neoplasm with neuroendocrine differentiation. This category includes neuroendocrine tumors, neuroendocrine carcinomas, and paragangliomas.;Undetermined;
C188218;Neuroendocrine Tumor;Well Differentiated Neuroendocrine Neoplasm ;A well-differentiated neuroendocrine neoplasm of low, intermediate, or high grade.;Undetermined;
C72074;Neuroendocrine Tumor G2;Neuroendocrine Tumor Grade 2;A well-differentiated, intermediate-grade epithelial neoplasm with neuroendocrine differentiation. It usually arises from the digestive system, lung, and head and neck.;Undetermined;
C3272;Neurofibroma;Neurofibroma (WHO Grade I);An intraneural or extraneural neoplasm arising from nerve tissues and neural sheaths. It is composed of perineurial-like fibroblasts and Schwann cells. It usually presents as a localized cutaneous lesion and less often as a circumscribed peripheral nerve mass. Patients with neurofibromatosis type 1 present with multiple masses. Neurofibromas which arise from major nerves and plexiform neurofibromas are precursor lesions to malignant peripheral nerve sheath tumors.;Benign;
C4192;Nipple Adenoma;Adenoma of Nipple ;A benign epithelial neoplasm arising from the nipple. Signs and symptoms include serous or sanguineous nipple discharge and nipple erosion. It is characterized by the presence of aggregates of small tubules replacing the nipple stroma. The tubules are lined by epithelial and myoepithelial cells.;Benign;
C28432;Nipple Carcinoma;;A carcinoma that arises in the area of the nipple.  Representative examples include Paget disease and skin squamous cell carcinoma.;Malignant;
C8863;Nodal Marginal Zone Lymphoma;Monocytoid B-Cell Lymphoma ;A primary nodal B-cell non-Hodgkin lymphoma which morphologically resembles lymph nodes involved by marginal zone lymphomas of extranodal or splenic types, but without evidence of extranodal or splenic disease.  (WHO, 2001);Malignant;
C7258;Nodular Lymphocyte Predominant B-Cell Lymphoma;Nodular Lymphocyte Predominant B-Cell Lymphoma/Nodular Lymphocyte Predominant Hodgkin Lymphoma ;A B-cell lymphoma characterized by the presence of scattered clonal cells known as lymphocyte predominant cells (LP cells) in a background of reactive lymphocytes and histiocytes, and formation of a nodular or nodular and diffuse growth pattern.;Malignant;
C205125;Nodular Melanoma;;A melanoma that arises from the skin and mucosal sites. It is characterized by a vertical growth phase and lacks a significant radial growth phase. It may or may not arise from a pre-existing nevus. Morphologically, it is characterized by the presence of cohesive aggregates of neoplastic melanocytes in the dermis that often exhibit an epithelioid appearance. The overlying epidermis is often involved.;Malignant;
C3518;Nodular Sclerosis Classic Hodgkin Lymphoma;Hodgkin's Nodular Sclerosis ;A subtype of classic Hodgkin lymphoma characterized by collagen bands that surround at least one nodule, and Hodgkin and Reed-Sternberg cells with lacunar type morphology. (WHO, 2008);Malignant;
C6951;Nonanaplastic Kidney Wilms Tumor;Nonanaplastic Renal Wilm's Tumor ;Wilms tumor of the kidney characterized by the absence of nuclear anaplasia.;Malignant;
C8711;Non-Cutaneous Melanoma;Extracutaneous Melanoma;A melanoma that arises from a site other than skin.;Malignant;
C4348;Non-Functioning Pituitary Neuroendocrine Tumor;Functionless Adenoma of Pituitary ;A hormone producing or non-producing pituitary neuroendocrine tumor not associated with a hormonal syndrome.;Undetermined;
C39991;Non-Gestational Ovarian Choriocarcinoma;;A malignant germ cell tumor that arises from the ovary and is composed of cytotrophoblasts, syncytiotrophoblasts, and extravillous trophoblasts.  The prognosis is less favorable than gestational choriocarcinoma.;Malignant;
C36261;Non-Hereditary Clear Cell Renal Cell Carcinoma;Non-Hereditary Conventional (Clear Cell) Renal Cell Carcinoma ;The most common type of renal cell carcinoma, characterized by a loss of genetic material of the short arm of chromosome 3.  The most common symptom at the time of diagnosis is hematuria.  The tumor has a golden-yellow color because of the abundance of intracytoplasmic lipid.  This is a clinically aggressive type of renal cell carcinoma.  The tumor usually metastasizes to unusual sites and late metastasis is common.;Malignant;
C3211;Non-Hodgkin Lymphoma;Non-Hodgkin's Lymphoma ;Distinct from Hodgkin lymphoma both morphologically and biologically, non-Hodgkin lymphoma (NHL) is characterized by the absence of Reed-Sternberg cells, can occur at any age, and usually presents as a localized or generalized lymphadenopathy associated with fever and weight loss. The clinical course varies according to the morphologic type. NHL is clinically classified as indolent, aggressive, or having a variable clinical course. NHL can be of B-or T-/NK-cell lineage.;Malignant;
C9080;Noninvasive Malignant Thymoma;Malignant Thymoma, Noninvasive ;A morphologically malignant thymoma that is entirely confined within the capsule.;Malignant;
C48305;Non-Metastatic Adrenal Gland Pheochromocytoma;Benign Adrenal Gland Pheochromocytoma;A sporadic or familial pheochromocytoma that is confined to the adrenal gland.;Undetermined;
C4734;Non-Secretory Multiple Myeloma;Non-Secretory Plasma Cell Myeloma;"A rare type of multiple myeloma in which the plasma cells synthesize but do not secrete immunoglobulins.  As a result, none of the immunoglobulins appear out of the normal range.  The symptoms are generally the same with those of immunoglobulin-secreting myeloma; however, the incidence of renal insufficiency is lower in non-secretory myeloma.  The diagnosis can be missed because of the absence of monoclonal immunoglobulin in the serum or urine.";Malignant;
C53557;Normal Breast-Like Subtype of Breast Carcinoma;Normal Breast-Like Subtype of Breast Cancer;A biologic subset of breast carcinoma defined by high expression of many genes expressed by adipose and other non-epithelial tissues.;Malignant;
C45924;Null Cell Pituitary Neuroendocrine Tumor;Hormone Immunonegative Adenoma ;A non-functioning pituitary neuroendocrine tumor without hormonal immunoreactivity or evidence of specific adenohypophyseal cell derivation.;Undetermined;
C45716;NUT Carcinoma;"Carcinoma with t(15;19)(q13;p13.1) Translocation ";"A rare, highly aggressive and lethal carcinoma that affects children and young adults.  It arises from midline epithelial structures, most commonly the head, neck, and mediastinum.  It is a poorly differentiated carcinoma and is characterized by mutations and rearrangement of the NUT gene.  A balanced translocation t(15;19) is present that results in the creation of a fusion gene involving the NUT gene, most commonly BRD4-NUT fusion gene.";Malignant;
C35689;Ocular Adnexal Mucosa-Associated Lymphoid Tissue Lymphoma;Ocular Adnexal MALT lymphoma;An extranodal marginal zone lymphoma of mucosa-associated lymphoid tissue that arises from the ocular adnexa. It is the most common type of primary ocular adnexal lymphoma.;Malignant;
C3789;Olfactory Neuroblastoma;Esthesioneuroblastoma ;A rare neuroectodermal tumor originating from olfactory receptor cells in the sinonasal tract. In rare cases, it can be ectopic and originate from other sites such as the sellar region. Microscopically, it is characterized by neuroblastic differentiation with occasional formation of rosettes. If the tumor is not resected at an early stage, the prognosis is usually poor.;Malignant;
C4050;Oligoastrocytoma;Mixed Astrocytic-Oligodendroglial Neoplasm ;A WHO grade 2 tumor composed of a conspicuous mixture of two distinct neoplastic cell types morphologically resembling the tumor cells in oligodendroglioma and diffuse astrocytoma. (WHO);Undetermined;
C6960;Oligodendroglial Tumor;Oligodendroglial Neoplasm;A neoplasm of the central nervous system composed predominantly of cells morphologically resembling oligodendroglia.  Oligodendroglial tumors histologically comprise a continuous spectrum ranging from well-differentiated neoplasms to frankly malignant tumors. WHO grading system recognizes two malignancy grades: WHO grade 2 for well-differentiated tumors (oligodendroglioma) and WHO grade 3 for anaplastic oligodendroglioma. (Adapted from WHO);Undetermined;
C3288;Oligodendroglioma;WHO Grade 2 Oligodendroglial Neoplasm ;A well-differentiated (WHO grade 2), diffusely infiltrating neuroglial tumor, typically located in the cerebral hemispheres.  It is composed predominantly of cells which morphologically resemble oligodendroglia. The neoplastic cells have rounded homogeneous nuclei and, on paraffin sections, a swollen, clear cytoplasm ('honeycomb' appearance). (Adapted from WHO);Undetermined;
